window_start,window_end,period_hours,turbine_id,min_power_output,max_power_output,avg_power_output
2022-03-01 00:00:00,2022-03-02 00:00:00,24,1,1.6,4.4,2.975
2022-03-01 00:00:00,2022-03-02 00:00:00,24,2,1.6,4.4,2.983333333333333
2022-03-01 00:00:00,2022-03-02 00:00:00,24,3,1.6,4.5,2.766666666666666
2022-03-01 00:00:00,2022-03-02 00:00:00,24,4,1.5,4.4,3.0208333333333335
2022-03-01 00:00:00,2022-03-02 00:00:00,24,5,1.7,4.5,3.079166666666667
2022-03-01 00:00:00,2022-03-02 00:00:00,24,6,1.5,4.5,2.908333333333333
2022-03-01 00:00:00,2022-03-02 00:00:00,24,7,1.6,4.5,3.0875000000000004
2022-03-01 00:00:00,2022-03-02 00:00:00,24,8,1.6,4.4,3.016666666666667
2022-03-01 00:00:00,2022-03-02 00:00:00,24,9,1.5,4.3,2.7208333333333328
2022-03-01 00:00:00,2022-03-02 00:00:00,24,10,1.5,4.5,3.1249999999999996
2022-03-01 00:00:00,2022-03-02 00:00:00,24,11,1.5,4.4,2.7375000000000003
2022-03-01 00:00:00,2022-03-02 00:00:00,24,12,1.6,4.5,3.1583333333333337
2022-03-01 00:00:00,2022-03-02 00:00:00,24,13,1.8,4.3,3.033333333333333
2022-03-01 00:00:00,2022-03-02 00:00:00,24,14,1.6,4.5,2.983333333333334
2022-03-01 00:00:00,2022-03-02 00:00:00,24,15,2.0,4.5,3.3708333333333336
2022-03-02 00:00:00,2022-03-03 00:00:00,24,1,1.9,4.5,3.2375000000000003
2022-03-02 00:00:00,2022-03-03 00:00:00,24,2,1.6,4.2,2.4666666666666663
2022-03-02 00:00:00,2022-03-03 00:00:00,24,3,1.6,4.4,2.9791666666666665
2022-03-02 00:00:00,2022-03-03 00:00:00,24,4,1.5,4.2,3.108333333333333
2022-03-02 00:00:00,2022-03-03 00:00:00,24,5,1.9,4.4,3.2499999999999996
2022-03-02 00:00:00,2022-03-03 00:00:00,24,6,1.5,4.5,3.0541666666666667
